Person,Ever married,Never married,Total
,,,
Current husband/partner,82.9,na,78
Former husband/partner,8.8,na,8.3
Current boyfriend,0.2,1,0.2
Former boyfriend,0.1,0.9,0.1
Father/step-father,7.9,35.7,9.5
Mother/step-mother,12.2,60.3,15.1
Sister/brother,5.2,24.9,6.4
Daughter/son,0.3,1.7,0.3
Other relative,1.3,3.5,1.4
Mother-in-law,0.7,na,0.7
Father-in-law,0.3,na,0.3
Other-in-law,0.6,na,0.6
Teacher,1.2,8,1.6
Employer/someone at work,0,0,0
Police/soldier,0,0,0
Other,0.5,1.4,0.6
,,,
Number of women who have experienced,,,
physical violence since age 15,"19,459","1,237","20,696"
