"",Ever,Never,,18 years,Don't,
Person,married,married,<18 years,or higher,know1,Total
"",,,,,,
Current husband,82.0,na,86.1,85.3,57.9,78.7
Former husband,13.7,na,14.6,14.9,8.3,13.2
Current/former boyfriend,1.6,16.1,2.6,0.8,4.5,2.2
Father/step-father,0.9,3.5,0.5,0.3,2.9,1.0
Brother/step-brother,0.5,3.9,0.1,0.0,2.5,0.7
Other relative,2.3,39.3,2.3,0.4,12.0,3.8
In-law,0.3,na,0.2,0.0,0.9,0.3
Own friend/acquaintance,1.0,2.6,1.0,0.5,2.3,1.1
Family friend,0.4,11.7,0.5,0.0,2.8,0.8
Teacher,0.0,3.9,0.0,0.0,0.8,0.2
Employer/someone at work,0.3,1.8,0.1,0.3,0.7,0.3
Police/soldier,0.1,0.0,0.0,0.0,0.2,0.1
Priest/religious leader,0.0,0.0,0.0,0.0,0.1,0.0
Stranger,0.2,5.2,0.1,0.0,1.5,0.4
Other,0.6,12.0,0.7,0.2,3.1,1.0
"",,,,,,
Number of women,"4,169",176,"1,158","2,100","1,087","4,345"
